ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	33/430	258/13333	0.127906976744186	3.96600865332612	8.78209133683188	1.2048385312542098e-11	1.58255746858705e-08	1.31922901108107e-08	FAP/LOXL4/MMP7/FBLN5/LUM/DPT/SOX9/LOXL1/SPINT1/COL1A2/MMP2/LAMA2/PAPLN/SMOC2/AEBP1/RGCC/MMP24/MFAP4/CCDC80/FERMT1/TGFB2/ITGA2/ADAMTS10/FBLN1/COL1A1/NPNT/COL4A3/LAMA1/FOXC1/CREB3L1/APLP1/COMP/MMP28	33
GO:0043062	extracellular structure organization	33/430	259/13333	0.127413127413127	3.95069587860286	8.75400163622822	1.3403931128631099e-11	1.58255746858705e-08	1.31922901108107e-08	FAP/LOXL4/MMP7/FBLN5/LUM/DPT/SOX9/LOXL1/SPINT1/COL1A2/MMP2/LAMA2/PAPLN/SMOC2/AEBP1/RGCC/MMP24/MFAP4/CCDC80/FERMT1/TGFB2/ITGA2/ADAMTS10/FBLN1/COL1A1/NPNT/COL4A3/LAMA1/FOXC1/CREB3L1/APLP1/COMP/MMP28	33
GO:0045229	external encapsulating structure organization	33/430	259/13333	0.127413127413127	3.95069587860286	8.75400163622822	1.3403931128631099e-11	1.58255746858705e-08	1.31922901108107e-08	FAP/LOXL4/MMP7/FBLN5/LUM/DPT/SOX9/LOXL1/SPINT1/COL1A2/MMP2/LAMA2/PAPLN/SMOC2/AEBP1/RGCC/MMP24/MFAP4/CCDC80/FERMT1/TGFB2/ITGA2/ADAMTS10/FBLN1/COL1A1/NPNT/COL4A3/LAMA1/FOXC1/CREB3L1/APLP1/COMP/MMP28	33
GO:0043588	skin development	27/430	208/13333	0.129807692307692	4.02494409660107	8.02667901593975	6.73888190901921e-10	5.96727993043651e-07	4.97435888284181e-07	SOX9/KRT80/PDGFA/COL1A2/JAG1/KRT7/ITGB6/GRHL2/VANGL2/ETV4/CLDN4/ITGA3/FERMT1/TGFB2/ITGA2/GLI2/COL1A1/OVOL1/CDKN2A/PKP3/FOXC1/COMP/EVPL/FOXQ1/WNT10A/SFN/KRT6C	27
GO:0008544	epidermis development	29/430	249/13333	0.116465863453815	3.611254319604	7.59302987942131	2.0518243708360503e-09	1.45351238430026e-06	1.21165628635687e-06	SOX9/SPINT1/KRT80/PDGFA/JAG1/KRT7/SFRP4/LAMC2/ESRP1/GRHL2/VANGL2/ETV4/CLDN4/EDA2R/JAG2/FERMT1/TGFB2/GLI2/MCOLN3/OVOL1/USH1C/CDKN2A/PKP3/FOXC1/EVPL/FOXQ1/WNT10A/SFN/KRT6C	29
GO:0061564	axon development	38/430	408/13333	0.0931372549019608	2.88790469676243	7.07019519815831	4.0045064953959805e-09	2.36399366778209e-06	1.97063872273434e-06	THY1/TNFRSF12A/MMP2/PTK7/LAMA2/NFASC/SEMA3G/BHLHE22/BOC/EPHA3/LGR6/MAP1B/VANGL2/NCAM2/MAP1A/TGFB2/GLI2/CDH11/NTRK2/SLIT3/RND2/SPP1/NELL2/SEMA3E/APLP1/KIF5C/UCHL1/NOTCH3/GDNF/NRXN3/CNTN2/SLITRK3/PLXNB3/DCLK1/APOD/PLP1/CHL1/MAG	38
GO:0007409	axonogenesis	33/430	363/13333	0.0909090909090909	2.81881606765328	6.41369994517513	7.87463267936139e-08	3.98456413575686e-05	3.32155558881334e-05	THY1/TNFRSF12A/PTK7/LAMA2/NFASC/SEMA3G/BOC/EPHA3/LGR6/MAP1B/VANGL2/MAP1A/TGFB2/GLI2/CDH11/NTRK2/SLIT3/RND2/SPP1/NELL2/SEMA3E/APLP1/KIF5C/UCHL1/NOTCH3/GDNF/NRXN3/CNTN2/SLITRK3/PLXNB3/DCLK1/CHL1/MAG	33
GO:0048667	cell morphogenesis involved in neuron differentiation	38/430	475/13333	0.08	2.48055813953488	5.99821587587777	2.28945079606904e-07	0.0001013654339959	8.44988089864953e-05	THY1/TNFRSF12A/DCDC2/PTK7/LAMA2/NFASC/SEMA3G/BOC/EPHA3/LGR6/MAP1B/VANGL2/MAP1A/TGFB2/GLI2/CDH11/NFATC4/NTRK2/USH1C/SLIT3/HECW1/RND2/SPP1/FAT3/NELL2/SEMA3E/APLP1/KIF5C/UCHL1/NOTCH3/GDNF/NRXN3/CNTN2/SLITRK3/PLXNB3/DCLK1/CHL1/MAG	38
GO:0072006	nephron development	17/430	122/13333	0.139344262295082	4.32064430041937	6.72621829878077	3.68686396676693e-07	0.0001379254959996	0.0001149754870216	CD24/SOX9/JAG1/AQP1/TACSTD2/WNT4/LIF/VANGL2/ITGA3/PDGFD/GPC3/OSR1/NPNT/COL4A3/FOXC1/NOTCH3/GDNF	17
GO:0007423	sensory organ development	36/430	446/13333	0.0807174887892377	2.50280529773699	5.89292296896018	3.89400045171304e-07	0.0001379254959996	0.0001149754870216	THY1/SOX4/SOX9/EFEMP1/LAMC3/JAG1/PTK7/AQP1/BHLHE22/CTHRC1/CACNA1C/ESRP1/GRHL2/VANGL2/JAG2/LEF1/MFAP2/TGFB2/MCOLN3/NTRK2/OSR1/USH1C/SAMD11/FAT3/LAMA1/FOXC1/MSX1/GRM6/KCNK3/FOXN4/GABRB3/PRRX1/HCN1/WNT10A/MFAP5/GABRA5	36
GO:0002009	morphogenesis of an epithelium	34/430	415/13333	0.0819277108433735	2.54033062482488	5.81938231680683	5.89399742879129e-07	0.0001756259632252	0.000146402813411	KRT23/SOX9/SPINT1/PDGFA/MMP2/JAG1/PTK7/TACSTD2/WNT4/LIF/CTHRC1/GRHL2/VANGL2/GPC3/JAG2/FERMT1/ID4/LEF1/PDX1/TGFB2/GLI2/NFATC4/OSR1/NPNT/LAMA1/SEMA3E/DNAAF1/FOXN4/GDNF/CA9/KRT19/CASR/FOXQ1/WNT10A	34
GO:1902476	chloride transmembrane transport	13/430	74/13333	0.175675675675676	5.44717159019485	7.00294786001806	5.95006086590469e-07	0.0001756259632252	0.000146402813411	GABRE/CLIC6/CFTR/CLDN4/ANO9/ANO4/SLC4A3/GABRB3/CLIC5/TTYH1/GABRP/CASR/GABRA5	13
GO:0001822	kidney development	26/430	270/13333	0.0962962962962963	2.98585701981051	6.01789944522303	6.52777809762839e-07	0.0001778568463215	0.0001482624903955	SOX4/CD24/SOX9/PDGFA/EPCAM/JAG1/PTK7/BICC1/AQP1/TACSTD2/WNT4/LIF/VANGL2/ITGA3/PDGFD/GPC3/TGFB2/GLI2/OSR1/OVOL1/NPNT/COL4A3/GLIS2/FOXC1/NOTCH3/GDNF	26
GO:0072001	renal system development	26/430	279/13333	0.0931899641577061	2.88953905142952	5.82267702451903	1.22056492894706e-06	0.0003088029270236	0.0002574198966689	SOX4/CD24/SOX9/PDGFA/EPCAM/JAG1/PTK7/BICC1/AQP1/TACSTD2/WNT4/LIF/VANGL2/ITGA3/PDGFD/GPC3/TGFB2/GLI2/OSR1/OVOL1/NPNT/COL4A3/GLIS2/FOXC1/NOTCH3/GDNF	26
