gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000198542	130.187582580022	2.20675142696525	0.159311119652469	13.8518355264792	1.2400238561322199e-43	2.22869487662643e-39
ENSG00000104435	33.9962501091658	4.07473406846061	0.303810509131654	13.4120905827351	5.13700418634915e-41	4.61636881206266e-37
ENSG00000078098	13.4363322584759	2.8131653361414	0.210440938993159	13.3679565848775	9.30624420998763e-41	5.57537090620359e-37
ENSG00000138131	110.499032268685	2.10253051693914	0.161179739853321	13.0446327736508	6.81847340844761e-39	3.06371056425072e-35
ENSG00000186340	203.72660730753	1.54279908375205	0.124528931066159	12.3890815615562	2.9945324609790103e-35	1.07641463842352e-31
ENSG00000119681	103.900800987024	1.85507742564772	0.150076490064066	12.3608796078307	4.2547536234136404e-35	1.27451144789355e-31
ENSG00000079931	35.784720426894	2.38111391125978	0.194414676298874	12.2476037127943	1.73033368526624e-34	4.4427553321843105e-31
ENSG00000163075	35.7578237583301	1.73383128671257	0.148347565577009	11.6876288462753	1.47445783983605e-31	3.31255384442166e-28
ENSG00000154096	125.927261904207	1.96441397719266	0.171360753589433	11.4636165869067	2.0094492111820297e-30	4.0128700747305e-27
ENSG00000137673	46.1463111596893	2.34112081274301	0.207060851873574	11.3064386220745	1.21939114095155e-29	2.19161169763222e-26
ENSG00000102287	204.401429610089	1.64846373145456	0.146231880508349	11.2729435313556	1.7850080853759698e-29	2.78027928495696e-26
ENSG00000187144	18.9222960086634	2.93956525799563	0.260842665958609	11.2694955297769	1.8563039792735499e-29	2.78027928495696e-26
ENSG00000169429	19.7065675984135	2.51480025650439	0.223911362897016	11.2312310727215	2.8645918765238197e-29	3.96040844590481e-26
ENSG00000124766	63.8935502486527	1.38476455584294	0.123595667233669	11.2039894831015	3.8977627854693e-29	5.00389218165998e-26
ENSG00000163739	14.8658340652091	2.15575772892346	0.192799720467306	11.1813322327354	5.03287232816872e-29	6.03038762361176e-26
ENSG00000140092	443.716181643084	1.24334440630016	0.112057325051951	11.0956102666535	1.3175766022101098e-28	1.4800502669701402e-25
ENSG00000159212	26.4303302892759	2.10005202198918	0.193183277938607	10.8707753817935	1.58845091853202e-27	1.67936637404565e-24
ENSG00000124875	31.6070561814182	2.18996290725414	0.201561206502673	10.865001977576	1.69219514577146e-27	1.6896568530528e-24
ENSG00000137819	42.1494938365111	1.38719229927616	0.128007456738121	10.8368085315068	2.30367780220117e-27	2.17915795468219e-24
ENSG00000234899	58.2969194718997	1.31540121572773	0.122492340353268	10.7386405707827	6.70240066111294e-27	6.02311235410914e-24
ENSG00000272398	388.130498674102	1.6161795003206	0.150996022861187	10.7034574136193	9.80500576772741e-27	8.39168422206499e-24
ENSG00000108244	14.9617446880629	3.27546001360414	0.309430498139608	10.5854465972075	3.48116689181719e-26	2.84395511575592e-23
ENSG00000154065	89.294905480898	1.16174228345019	0.110343169955532	10.5284476050341	6.387923732161739e-26	4.99174579296273e-23
ENSG00000172965	38.5330596268041	1.39011364645557	0.132478253119048	10.4931459596345	9.28832376851038e-26	6.95579346214321e-23
ENSG00000139329	810.557617282711	1.49503761260843	0.14260838976537	10.4835179407619	1.02845416454888e-25	7.393762679774841e-23
ENSG00000143196	369.931981202716	1.63558746328928	0.156905055197237	10.4240584296871	1.9255703817622902e-25	1.33108755659284e-22
ENSG00000148677	4.57718159484685	3.52167415753212	0.340973928932281	10.3282798440333	5.2493471170752e-25	3.49431539759973e-22
ENSG00000125398	85.0095805807675	1.59915570841867	0.155205730024356	10.3034579210942	6.79730608116604e-25	4.36314222131419e-22
ENSG00000067798	19.8382371502473	1.46940462943788	0.142902405095368	10.2825745197028	8.44413266112505e-25	5.2333240109793295e-22
ENSG00000117525	39.3682329403729	1.38272171761363	0.134618928957222	10.2713766059826	9.48415412037617e-25	5.68195673351736e-22
ENSG00000148180	1127.49639869628	1.32565924005553	0.129298077385748	10.2527374486827	1.15038512364716e-24	6.669636073325959e-22
ENSG00000080293	14.8899982132293	2.5354242761205	0.250495560538813	10.1216335757282	4.42959895254614e-24	2.48791193669099e-21
ENSG00000115380	192.549417413004	2.06037505988526	0.20379105242009	10.1102331796101	4.9765687676032804e-24	2.66859413914807e-21
ENSG00000129038	21.0173967140954	1.93199846302701	0.191119850286381	10.1088320241568	5.0482501936813205e-24	2.66859413914807e-21
ENSG00000166145	58.125406595744	1.72707350306649	0.170902200136978	10.1056247472662	5.21620310850003e-24	2.67859481340203e-21
ENSG00000102452	28.5266042128184	1.52934373636912	0.151399398370904	10.1013858233602	5.44669748656226e-24	2.7192637201662103e-21
ENSG00000013297	41.1766969057289	1.30765135935313	0.12981256462234	10.0733805171898	7.24443741180426e-24	3.51903442168535e-21
ENSG00000006327	91.2850878218273	1.50754025414284	0.150132773551681	10.0413801628989	1.00261374257391e-23	4.7420991566528804e-21
ENSG00000167767	7.25896134287553	2.06315924338184	0.205840140853942	10.0231142226326	1.20640514087707e-23	5.55967169153427e-21
ENSG00000115009	16.2178742436956	2.44308945472734	0.245090264235895	9.96812118320584	2.10166757458606e-23	9.44331782950881e-21
ENSG00000203805	15.257913612307	1.27059011389765	0.127962544345104	9.92939082604493	3.10144463424529e-23	1.35956742466562e-20
ENSG00000197461	70.9476027839495	1.30035641277541	0.131035091128775	9.92372654968804	3.28266098546312e-23	1.40474442599354e-20
ENSG00000103064	63.5659428421571	1.01291166729529	0.102317274909934	9.89971310501491	4.17470899734902e-23	1.7449312746361402e-20
ENSG00000119888	80.8378115793061	1.9424440902519	0.196836089481816	9.86833306516867	5.710568729649991e-23	2.28080115062221e-20
ENSG00000164692	933.913075594571	1.0978208520289	0.111226258943837	9.8701589215838	5.60756964681571e-23	2.28080115062221e-20
ENSG00000087245	176.688473686427	1.202358184928	0.12220489581067	9.83887083207202	7.656531680351061e-23	2.9915400845858603e-20
ENSG00000162909	895.455396574769	0.657019898054409	0.06726146398719	9.76814745185355	1.5424662003796598e-22	5.89845638711141e-20
ENSG00000050555	100.527109163864	1.754061658103	0.1798303040986	9.75398260540809	1.773701726789e-22	6.64140440324557e-20
ENSG00000138135	7.65989825661087	1.9431524260131	0.19928817897437	9.75046506026332	1.8362511934390499e-22	6.735294428506141e-20
ENSG00000146038	111.571901441209	1.5155431550722	0.156245943501084	9.69972801285354	3.02303414467783e-22	1.08665985364589e-19
